cataloger,bookid,count,title,author,combinedName,authorOfColor,nonPersonAuthor,yrpub,neighborhood,collection,age,type,category1,category2,publication,media,summary,deweywording,subjects,deweydec,languages,originalLang,lcclassification,isbn
H,168634889,1,Big Ideas for Northwest Small Gardens,"Wingate, Marty",Marty Wingate,0,0,2003,Central District,CentralDistrict3,Adult,Nonfiction,Nature/Gardening,Null,"Sasquatch Books (2003), Edition: First Edition, 224 pages",Paperback,Big Ideas for Northwest Small Gardens by Marty Wingate (2003),Agriculture & Animal Husbandry > Biography; History By Place > Domestic Gardening > North America > Oregon > Ornamental plants > Technology > West Coast U.S.,"Gardening > Northwest, Pacific|Landscape gardening > Northwest, Pacific",635.909795,English,English,SB453.2 .N83,[1570612579]
H,168634995,1,Brown Bears of Brooks River,"Squibb, Ronald",Ronald Squibb,0,0,1993,Central District,CentralDistrict3,Adult,Nonfiction,Nature/Gardening,Null,"Natural Resource Research & (1993), 24 pages",Paperback,Brown Bears of Brooks River by Ronald Squibb (1993),"Mammals > Mathematics and Science > Ungulata, Carnivora, Domestic mammals > Zoology",,599.78,English,English,,[0963801600]
H,168634907,1,The Overseer,"Rabb, Jonathan",Jonathan Rabb,0,0,1999,Central District,CentralDistrict3,Adult,Fiction,Novel,Null,"Jove (1999), Edition: First Edition, 429 pages",Paperback,The Overseer by Jonathan Rabb (1999),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Adventure stories|Terrorism > Fiction,813.54,English,English,PS3568 .A215,[051512558X]
H,168635114,1,The Ragamuffin Gospel,"Manning, Brennan",Brennan Manning,0,0,2000,Central District,CentralDistrict3,Adult,Nonfiction,Religion,Null,"Multnomah Books (2000), Edition: English Language, 240 pages",Paperback,The Ragamuffin Gospel by Brennan Manning (2000),Christian Life > Christian practice and observance > Religion ,God > Love|God (Christianity) > Love,248,English,English,BT140 .M365,[1576737160]
H,168634895,1,Along Came A Spider,"Patterson, James",James Patterson,0,0,1993,Central District,CentralDistrict3,Adult,Fiction,Thriller/Suspense,Null,"Grand Central Publishing (1993), 528 pages",Paperback,Along Came A Spider by James Patterson (1993),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"African American police > Fiction|Cross, Alex (Fictitious character) > Fiction|Detective and mystery stories|Large Type Books|Large type books|Mystery fiction|Police > Washington (D.C.) > Fiction|Police psychologists > Fiction|Private schools > Fiction|Psychological fiction|Secret service > Fiction|Washington (D.C.) > Fiction|Washington (D.C.) > fiction",813.54,English,English,PS3566 .A822,[0446364193]
H,168634900,1,The Diva Haunts the House (A Domestic Diva Mystery),"Davis, Krista",Krista Davis,0,0,2011,Central District,CentralDistrict3,Adult,Fiction,Thriller/Suspense,Null,"Berkley (2011), Edition: Original, 304 pages",Paperback,The Diva Haunts the House (A Domestic Diva Mystery) by Krista Davis (2011),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,,[0425243788]
H,168634910,1,No Witnesses,"Pearson, Ridley",Ridley Pearson,0,0,1996,Central District,CentralDistrict3,Adult,Fiction,Thriller/Suspense,Null,"Island Books (1996), Edition: 7th Printing, 480 pages",Paperback,No Witnesses by Ridley Pearson (1996),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Boldt, Lou (Fictitious character) > Fiction|Detective and mystery stories|Matthews, Daphne (Fictitious character) > Fiction|Poisoners > Fiction|Police > Washington (State) > Seattle > Fiction|Seattle (Wash.) > Fiction",813.54,English,English,PS3566 .E234,[0440221420]
H,168635659,1,Reading Expeditions (Social Studies: Voices From America's Past): Dust Bowl Days,"Learning, National Geographic",National Geographic Learning,0,1,2007,Central District,CentralDistrict4,Adult,Nonfiction,Biography/Autobiography/Memoir,History,"National Geographic School Pub (2007), Edition: 1",Paperback,Reading Expeditions (Social Studies: Voices From America's Past): Dust Bowl Days by National Geographic Learning (2007),Biography and History > North America > Western U.S.,,978.0904,English,English,,[9780792245575]
H,168635750,1,"Small Loans, Big Dreams: How Nobel Prize Winner Muhammad Yunus and Microfinance are Changing the World","Counts, Alex",Alex Counts,0,0,2008,Central District,CentralDistrict4,Adult,Nonfiction,Cultural Studies,Null,"Wiley (2008), 410 pages",Hardcover,"Small Loans, Big Dreams: How Nobel Prize Winner Muhammad Yunus and Microfinance are Changing the World by Alex Counts (2008)",Economics > Finance > Social Sciences,Banks and banking > Bangladesh|Microfinance > Developing countries|Poor > Chicago Metropolitan Area > Economic conditions|Rural poor > Bangladesh > Economic conditions,332,English,English,HG3290.6 .A8,[0470196327]
H,168635643,1,Virginia's Legendary Santa Trains,"Deekens, Donna Strother",Donna Strother Deekens,0,0,2013,Central District,CentralDistrict4,Adult,Nonfiction,History,Null,"The History Press (2013), Edition: First Edition, 192 pages",Paperback,Virginia's Legendary Santa Trains by Donna Strother Deekens (2013),"Engineering, contracts > Road and Railroad > Technology > Way and works",,625.1,English,English,TF197 .D31,[1626191409]
H,168635736,1,High Treason 2: The Great Cover-Up The Assassination of President John F. Kennedy,"Livingstone, Harrison Edward",Harrison Edward Livingstone,0,0,1992,Central District,CentralDistrict4,Adult,Nonfiction,History,Null,"Carroll & Graf (1992), Edition: First, 656 pages",Hardcover,High Treason 2: The Great Cover-Up The Assassination of President John F. Kennedy by Harrison Edward Livingstone (1992),Assassination > Crimes and Offenses > Criminology > Homicide > Offenses against persons > Social Sciences > Social problems and services; associations,"Kennedy, John F. (John Fitzgerald), 1917-1963 > Assassination",364.1524,English,English,E842.9 .L58,[0881848093]
H,168635799,1,The Two Mrs. Grenvilles: A Novel,"Dunne, Dominick",Dominick Dunne,0,0,2012,Central District,CentralDistrict4,Adult,Fiction,Mystery,Null,"Ballantine Books (2012), Edition: Reissue, 386 pages",Ebook,The Two Mrs. Grenvilles: A Novel by Dominick Dunne (2012),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Domestic Fiction|Domestic fiction|Legal stories|New York (N.Y.) > Fiction|Trials (Murder) > Fiction|Upper class families > Fiction,813.54,English,English,PS3554 .U492,[9780307815132]
H,168635648,1,"WOMEN, RELIGION, AND PEACEBUILDING: Illuminating the Unseen","Hayward, Susan",Susan Hayward,0,0,2015,Central District,CentralDistrict4,Adult,Nonfiction,Religion,Null,"United States Institute of Peace (2015), 384 pages",Paperback,"WOMEN, RELIGION, AND PEACEBUILDING: Illuminating the Unseen by Susan Hayward (2015)",,,,English,English,,[1601272928]
A,none,1,The Purpose Driven Life,null,null,0,0,2002,Central District,CentralDistrict4,Adult,Nonfiction,Religion,Self Help/Health,null,null,,,,,English,English,,9.78E+12
H,168635613,1,Finders Keepers,"Michaels, Fern",Fern Michaels,0,0,1999,Central District,CentralDistrict4,Adult,Fiction,Romance,Null,"Zebra (1999), 431 pages",Paperback,Finders Keepers by Fern Michaels (1999),American And Canadian > Fiction > Literature,Birthparents > Fiction|Charleston (S.C.) > Fiction|Dogs > Fiction|Kidnapping > Fiction|Legislators > Fiction|Love stories|Parent and child > Fiction|Tennessee > Fiction,813,English,English,PS3563 .I27,[0821763075]
H,168635625,1,Canyons of Night (Looking Glass Trilogy #3) (An Arcane Society Novel),"Castle, Jayne",Jayne Castle,0,0,2011,Central District,CentralDistrict4,Adult,Fiction,Romance,Null,"Berkley (2011), Edition: Original, 368 pages",Paperback,Canyons of Night (Looking Glass Trilogy #3) (An Arcane Society Novel) by Jayne Castle (2011),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3561 .R44,[9780515149883]
H,168635616,1,Prey,"Crichton, Michael",Michael Crichton,0,0,2008,Central District,CentralDistrict4,Adult,Fiction,SciFi/Fantasy,Null,"Harper (2008), Edition: 9/28/08, 528 pages",Paperback,Prey by Michael Crichton (2008),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Artificial life > Fiction|Molecular biologists > Fiction|Nevada > Fiction|Science Fiction|Science fiction|Suspense fiction|science fiction,813.54,"English, Undetermined",English,PS3553 .R48,[0061703087]
H,168635644,1,Writers INC: A Student Handbook for Writing & Learning,"Source, Great",Great Source,0,0,2000,Central District,CentralDistrict4,Adult,Nonfiction,Self Help/Health,Null,"GREAT SOURCE (2000), Edition: 5, 608 pages",Paperback,Writers INC: A Student Handbook for Writing & Learning by Great Source (2000),Anthologies and rhetoric > By Topic > Handbooks for writers > Literature > Rhetoric; Other Writing Instruction,"English language > Handbooks, manuals, etc|English language > Rhetoric > Handbooks, manuals, etc|English language > Writing > Handbooks, manuals, etc|English language > Writing > Study and teaching (Secondary) > Handbooks, manuals, etc|Language arts > Handbooks, manuals, etc|Report writing > Handbooks, manuals, etc|Study skills > Handbooks, manuals, etc",808.042,English,English,PE1408 .S4538,[0669471860]
H,168635743,1,How to doctor your feet without the doctor,"Schneider, Myles J",Myles J Schneider,0,0,1981,Central District,CentralDistrict4,Adult,Nonfiction,Self Help/Health,Null,"Scribner (1981), Edition: 1, 171 pages",Paperback,How to doctor your feet without the doctor by Myles J Schneider (1981),Medicine > Surgery; Dentistry  > Technology,"Foot > Care and hygiene|Podiatry > Popular works|Self-care, Health|Self-care, health",617.585024,English,,RD563 S,[0684168413]
H,168635640,1,"Hoosiers, Too: The Road Warriors: The 1969-70 East Chicago Roosevelt Rough Riders","Brandford, Napoleon, Iii","Iii, Brandford",0,0,2003,Central District,CentralDistrict4,Adult,Nonfiction,Sports,Null,"Vantage Pr (2003), 760 pages",Paperback,"Hoosiers, Too: The Road Warriors: The 1969-70 East Chicago Roosevelt Rough Riders by Napoleon Brandford, Iii (2003)",,,,English,English,,[0533144019]
H,168635633,1,Fade Away (Myron Bolitar),"Coben, Harlan",Harlan Coben,0,0,1996,Central District,CentralDistrict4,Adult,Fiction,Thriller/Suspense,Null,"Dell (1996), Edition: Reissue, 368 pages",Paperback,Fade Away (Myron Bolitar) by Harlan Coben (1996),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3553 .O225,[9780440222682]
H,168635731,1,Rainsong,"Whitney, Phyllis A.",Phyllis A. Whitney,0,0,2017,Central District,CentralDistrict4,Adult,Fiction,Thriller/Suspense,Null,"Open Road Media Romance (2017), 320 pages",Ebook,Rainsong by Phyllis A. Whitney (2017),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Large Type Books|Large type books|Romantic suspense novels,813.54,English,English,PS3545 .H8363,[9781504045841]
H,168636446,1,Golden handcuffs review. vol. 1 no. 5. 2005,0,null,0,0,2012,Central District,CentralDistrict5,Adult,Fiction,Anthology/Essays/Short stories,Null,Golden Handcuffs Review (2012),Paperback,Golden handcuffs review. vol. 1 no. 5. 2005 (2012),,,,,,,
H,168636471,1,Rough Clay: An Autobiography,"Edwards, Huvell",Huvell Edwards,0,0,2007,Central District,CentralDistrict5,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Morris Publishing (2007), 120 pages",Paperback,Rough Clay: An Autobiography by Huvell Edwards (2007),,,,,,,[0615139035]
H,168636519,1,The Puritan Dilemma: The Story of John Winthrop (Library of American biography),"Morgan, Edmund S.",Edmund S. Morgan,0,0,1962,Central District,CentralDistrict5,Adult,Nonfiction,History,Biography,"Scott Foresman & Co (1962), Edition: 2nd, 202 pages",Paperback,The Puritan Dilemma: The Story of John Winthrop (Library of American biography) by Edmund S. Morgan (1962),Biography > Biography and History > Government > North America > Of Sociology ,"Governors > Massachusetts > Biography|Massachusetts > History > Colonial period, ca. 1600-1775|Puritans > Massachusetts > Biography|Puritans > Massachusetts > History|Puritans > Massachusetts > History > 17th century|Winthrop, John, 1588-1649",923.273,English,English,F67 .W798,[067339347X]
H,168636470,1,The Given Day: A Novel,"Lehane, Dennis",Dennis Lehane,0,0,2012,Central District,CentralDistrict5,Adult,Fiction,History,Null,"William Morrow Paperbacks (2012), Edition: Reprint, 736 pages",Paperback,The Given Day: A Novel by Dennis Lehane (2012),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Historical Fiction|Historical fiction|Police Strike, Boston, Mass., 1919 > Fiction|historical fiction",813.54,English,English,PS3562 .E426,[0062190946]
H,168636483,1,1999: Victory Without War : Richard Nixon,"Nixon, Richard",Richard Nixon,0,0,1989,Central District,CentralDistrict5,Adult,Nonfiction,History,Null,"Pocket Books (1989), Edition: Reprint, 336 pages",Paperback,1999: Victory Without War : Richard Nixon by Richard Nixon (1989),International Relations > North America > Political Science  > Social Sciences > United States,United States > Foreign relations > 1981-1989|United States > Foreign relations > 1989-|World politics > 1985-1995,327.73,English,English,E876 .N59,[0671678345]
H,168636508,1,Waste Incineration Pocket Hand Book,"Cheremisinoff, Paul",Paul Cheremisinoff,0,0,1987,Central District,CentralDistrict5,Adult,Nonfiction,Self Help/Health,Null,"Pudvan Publishing Co. (1987), 203 pages",Paperback,Waste Incineration Pocket Hand Book by Paul Cheremisinoff (1987),,,,English,,,[0934165149]
A,none,1,Moto Hani-Life and Thought,Michiko Saito,Michiko Saito,1,0,1988,Central District,CentralDistrict5,Adult,Nonfiction,Biography,Null,Domes Publising,Hardcover,,,,,Japanese,,,978-4810702682
H,168636764,1,Ballet and Modern Dance (World of art),"Au, Susan",Susan Au,0,0,1988,Central District,CentralDistrict6,Adult,Nonfiction,Art,Null,"Thames & Hudson (1988), 216 pages",Paperback,Ballet and Modern Dance (World of art) by Susan Au (1988),Amusements and Recreation > Arts and Recreation > Ballet and modern dance > Stage Entertainments,Ballet > History|Dance > History|Modern dance > History,792.8,English,English,GV1787 .A79,[0500202192]
H,168636774,1,"Not for the Faint of Heart: Lessons in Courage, Power, and Persistence","Sherman, Wendy R.",Wendy R. Sherman,0,0,2018,Central District,CentralDistrict6,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"PublicAffairs (2018), 256 pages",Hardcover,"Not for the Faint of Heart: Lessons in Courage, Power, and Persistence by Wendy R. Sherman (2018)",,,,English,English,,[9781568588162]
H,168636766,1,Feminists Doing Ethics (Feminist Constructions),"DesAutels, Peggy",Peggy DesAutels,0,0,2001,Central District,CentralDistrict6,Adult,Nonfiction,Cultural Studies,Null,"Rowman & Littlefield Publishers (2001), 280 pages",Paperback,Feminists Doing Ethics (Feminist Constructions) by Peggy DesAutels (2001),Ethics > Ethics -- Subdivisions > Philosophy and Psychology > With Respect To Particular Groups of People,,170.82,English,English,BJ1395 .D47,[0742512118]
H,168636792,1,A Monstrous Regiment of Women,"King, Laurie R.",Laurie R. King,0,0,1997,Central District,CentralDistrict6,Adult,Fiction,Mystery,Null,"Bantam (1996), 336 pages",Paperback,A Monstrous Regiment of Women by Laurie R. King (1997),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Detective and mystery stories|Historical Fiction|Historical fiction|Holmes, Sherlock (Fictitious character) > Fiction|London (England) > Fiction|Russell, Mary (Fictitious character) > Fiction|Women detectives > England > London > Fiction|Women detectives > London > Fiction|historical fiction",813.54,English,English,PS3561 .I4813,[0553574566]
H,168636815,1,[By Jason Matthews ] The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy) (Paperback)?2018?by Jason Matthews (Author) (Paperback),0,null,0,0,?,Central District,CentralDistrict6,Adult,Fiction,Mystery,Null,Jason Matthews,Paperback,[By Jason Matthews ] The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy) (Paperback)?2018?by Jason Matthews (Author) (Paperback) (?),,,,,,,
H,168636769,1,Ruby (Oprah's Book Club 2.0),"Bond, Cynthia",Cynthia Bond,1,0,2015,Central District,CentralDistrict6,Adult,Fiction,Novel,Null,"Hogarth (2015), Edition: Reprint, 368 pages",Paperback,Ruby (Oprah's Book Club 2.0) by Cynthia Bond (2015),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,PS3602 .O65645,[9780804188241]
H,168636782,1,Fallen Skies,"Gregory, Philippa",Philippa Gregory,0,0,2006,Central District,CentralDistrict6,Adult,Fiction,Novel,Null,"Harper (2006), 640 pages",Paperback,Fallen Skies by Philippa Gregory (2006),1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,,823.914,English,English,PR6057 .R386,[000723306X]
